freq,psd_x,psd_y,psd_z,psd_xyz
159.1,2.428e+03,3.860e+02,2.778e+03,5.592e+03
160.7,3.176e+03,4.316e+02,3.455e+03,7.063e+03
162.2,3.194e+03,3.833e+02,3.505e+03,7.082e+03
163.8,3.092e+03,3.136e+02,3.387e+03,6.793e+03
165.4,2.946e+03,2.475e+02,3.184e+03,6.378e+03
166.9,2.803e+03,2.271e+02,3.050e+03,6.080e+03
168.5,2.746e+03,2.271e+02,3.026e+03,5.999e+03
170.0,2.755e+03,2.242e+02,3.067e+03,6.046e+03
171.6,2.717e+03,2.033e+02,3.086e+03,6.006e+03
173.2,2.663e+03,1.746e+02,3.081e+03,5.918e+03
174.7,2.753e+03,1.658e+02,3.194e+03,6.112e+03
176.3,2.812e+03,1.863e+02,3.259e+03,6.258e+03
177.8,2.797e+03,2.209e+02,3.300e+03,6.318e+03
179.4,2.778e+03,2.818e+02,3.433e+03,6.493e+03
181.0,2.751e+03,3.990e+02,3.507e+03,6.656e+03
182.5,2.781e+03,5.596e+02,3.609e+03,6.950e+03
184.1,2.744e+03,7.128e+02,3.653e+03,7.109e+03
185.6,2.613e+03,8.370e+02,3.633e+03,7.083e+03
187.2,2.288e+03,8.688e+02,3.299e+03,6.456e+03
188.8,1.995e+03,8.335e+02,3.006e+03,5.834e+03
190.3,2.038e+03,8.709e+02,3.292e+03,6.200e+03
191.9,2.038e+03,9.793e+02,3.413e+03,6.430e+03
193.4,1.723e+03,1.015e+03,2.952e+03,5.690e+03
195.0,1.390e+03,1.031e+03,2.506e+03,4.927e+03
196.6,1.264e+03,1.105e+03,2.361e+03,4.730e+03
198.1,1.056e+03,1.146e+03,2.073e+03,4.274e+03
199.7,8.618e+02,1.146e+03,1.830e+03,3.838e+03
